год	3727.5	28	
980  	философия	53.5	2209	
981  	мощность	53.3	2214	
982  	обязательство	53.3	2216	
983  	уход	53.3	2218	
984  	горло	53.2	2220	
985  	кризис	53.2	2221	
986  	указание	53.1	2225	
987  	плата	53.0	2229	
988  	яблоко	53.0	2230	
989  	препарат	52.9	2233	
990  	действительность	52.8	2235	
991  	москвич	52.8	2236	
992  	остаток	52.8	2238	
993  	изображение	52.7	2240	
994  	сделка	52.7	2242	
995  	сочинение	52.7	2243	
996  	покупатель	52.6	2247	
997  	танк	52.6	2248	
998  	затрата	52.5	2250	
999  	строка	52.5	2251	
1000  	единица	52.4	2252	
1001  	обработка	52.4	2253	
1002  	чемпионат	52.4	2254	
